[train_onemodel - 2018-11-29 01:29:00,644 - INFO] at epoch:  37, under eval mode, val_data dice: 0.836 
[train_onemodel - 2018-11-29 01:29:14,602 - INFO] at epoch:  38, under train mode, labeled_data dice: 0.874 
[train_onemodel - 2018-11-29 01:29:27,335 - INFO] at epoch:  38, under train mode, unlabeled_data dice: 0.825 
[train_onemodel - 2018-11-29 01:29:29,500 - INFO] at epoch:  38, under train mode, val_data dice: 0.822 
[train_onemodel - 2018-11-29 01:29:32,635 - INFO] at epoch:  38, under eval mode, labeled_data dice: 0.870 
[train_onemodel - 2018-11-29 01:29:44,393 - INFO] at epoch:  38, under eval mode, unlabeled_data dice: 0.824 
[train_onemodel - 2018-11-29 01:29:46,433 - INFO] at epoch:  38, under eval mode, val_data dice: 0.818 
[train_onemodel - 2018-11-29 01:30:00,445 - INFO] at epoch:  39, under train mode, labeled_data dice: 0.883 
[train_onemodel - 2018-11-29 01:30:13,551 - INFO] at epoch:  39, under train mode, unlabeled_data dice: 0.842 
[train_onemodel - 2018-11-29 01:30:15,889 - INFO] at epoch:  39, under train mode, val_data dice: 0.842 
[train_onemodel - 2018-11-29 01:30:19,102 - INFO] at epoch:  39, under eval mode, labeled_data dice: 0.880 
[train_onemodel - 2018-11-29 01:30:30,854 - INFO] at epoch:  39, under eval mode, unlabeled_data dice: 0.839 
[train_onemodel - 2018-11-29 01:30:32,853 - INFO] at epoch:  39, under eval mode, val_data dice: 0.831 
[train_onemodel - 2018-11-29 01:30:46,949 - INFO] at epoch:  40, under train mode, labeled_data dice: 0.884 
[train_onemodel - 2018-11-29 01:31:00,253 - INFO] at epoch:  40, under train mode, unlabeled_data dice: 0.837 
[train_onemodel - 2018-11-29 01:31:02,582 - INFO] at epoch:  40, under train mode, val_data dice: 0.838 
[train_onemodel - 2018-11-29 01:31:05,771 - INFO] at epoch:  40, under eval mode, labeled_data dice: 0.875 
[train_onemodel - 2018-11-29 01:31:17,876 - INFO] at epoch:  40, under eval mode, unlabeled_data dice: 0.834 
[train_onemodel - 2018-11-29 01:31:19,954 - INFO] at epoch:  40, under eval mode, val_data dice: 0.830 
